cbsa_cd,cbsa_abbr,cbsa_name
41900,SGC,"San German, PR (MSA)"
43100,SHB,"Sheboygan, WI (MSA)"
43300,SHM,"Sherman-Denison, TX (MSA)"
43340,SHP,"Shreveport-Bossier City, LA (MSA)"
43580,SIC,"Sioux City, IA-NE-SD (MSA)"
41980,SJC,"San Juan-Carolina-Caguas, PR (MSA)"
41140,SJS,"St. Joseph, MO-KS (MSA)"
41620,SLC,"Salt Lake City, UT (MSA)"
42020,SLO,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (MSA)"
42200,SMB,"Santa Maria-Santa Barbara, CA (MSA)"
41660,SNA,"San Angelo, TX (MSA)"
43900,SPB,"Spartanburg, SC (MSA)"
44140,SPD,"Springfield, MA (MSA)"
44220,SPG,"Springfield, OH (MSA)"
44180,SPI,"Springfield, MO (MSA)"
44060,SPK,"Spokane-Spokane Valley, WA (MSA)"
44100,SPR,"Springfield, IL (MSA)"
42220,SRO,"Santa Rosa, CA (MSA)"
41940,SSC,"San Jose-Sunnyvale-Santa Clara, CA (MSA)"
41500,SSM,"Salinas, CA (MSA)"
41060,STC,"St. Cloud, MN (MSA)"
42140,STF,"Santa Fe, NM (MSA)"
41100,STG,"St. George, UT (MSA)"
41180,STL,"St. Louis, MO-IL (MSA)"
44420,STN,"Staunton-Waynesboro, VA (MSA)"
44700,STO,"Stockton-Lodi, CA (MSA)"
42660,STW,"Seattle-Tacoma-Bellevue, WA (MSA)"
44940,SUM,"Sumter, SC (MSA)"
42680,SVB,"Sebastian-Vero Beach, FL (MSA)"
43420,SVD,"Sierra Vista-Douglas, AZ (MSA)"
42540,SWB,"Scranton-Wilkes-Barre-Hazleton, PA (MSA)"
43620,SXF,"Sioux Falls, SD (MSA)"
40900,SYO,"Sacramento-Roseville-Arden-Arcade, CA (MSA)"
45060,SYR,"Syracuse, NY (MSA)"
45220,TAL,"Tallahassee, FL (MSA)"
45500,TEX,"Texarkana, TX-AR (MSA)"
45460,THE,"Terre Haute, IN (MSA)"
45540,THV,"The Villages, FL (MSA)"
45300,TMA,"Tampa-St. Petersburg-Clearwater, FL (MSA)"
45780,TOL,"Toledo, OH (MSA)"
45820,TPK,"Topeka, KS (MSA)"
45940,TRT,"Trenton, NJ (MSA)"
46060,TUC,"Tucson, AZ (MSA)"
46140,TUL,"Tulsa, OK (MSA)"
46220,TUS,"Tuscaloosa, AL (MSA)"
46340,TYL,"Tyler, TX (MSA)"
46520,URH,"Urban Honolulu, HI (MSA)"
46540,UTA,"Utica-Rome, NY (MSA)"
37100,VEN,"Oxnard-Thousand Oaks-Ventura, CA (MSA)"
