cbsa_code,cbsa_name,ct_code,ct_name,msa
12020,"Athens-Clarke County, GA",13221,"Oglethorpe County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13013,"Barrow County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13015,"Bartow County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13035,"Butts County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13045,"Carroll County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13057,"Cherokee County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13063,"Clayton County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13067,"Cobb County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13077,"Coweta County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13085,"Dawson County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13089,"DeKalb County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13097,"Douglas County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13113,"Fayette County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13117,"Forsyth County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13121,"Fulton County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13135,"Gwinnett County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13143,"Haralson County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13149,"Heard County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13151,"Henry County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13159,"Jasper County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13187,"Lumpkin County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13199,"Meriwether County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13211,"Morgan County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13217,"Newton County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13223,"Paulding County, Georgia",1
12060,"Atlanta-Sandy Springs-Roswell, GA",13227,"Pickens County, Georgia",1
